tau,q1,q2,resource,meter,p1,p2,p_resource,p_meter,dissipated_energy,gross_transfer,integrated_tracking_residual,total_energy,local_pair_energy,asymmetry,meter_interface_energy,resource_to_pair_power,meter_to_pair_power,q_plus,p_plus,common_mode_energy
84.4,-0.196636827,-0.1617733986,-0.008673177778,-0.1308462908,-0.2396072525,-0.2139137536,0.3524623305,-0.05051002255,0.4636725173,2.008213367,9.267273616,0.1613274827,0.08448988529,0.001875614529,0.0004328394659,-0.01125936339,-0.003152777926,-0.253434301,-0.3206877788,0.0835347982
84.5,-0.219090611,-0.1824527363,0.02628985422,-0.1352977868,-0.2087761837,-0.1993544266,0.3459766963,-0.03851373488,0.4638348918,2.009763352,9.26783805,0.1611651083,0.0828466231,0.001431103376,0.000702123739,-0.01280739927,-0.003498789213,-0.2839340238,-0.2885919222,0.08195191371
84.6,-0.2382636127,-0.2015808677,0.06036087218,-0.1385491383,-0.1740943482,-0.1828927253,0.3346547176,-0.0265201949,0.4639706871,2.01141676,9.268685513,0.1610293129,0.0811197427,0.00142303522,0.0009942976399,-0.01299720876,-0.003471945284,-0.3110170147,-0.2524279805,0.08022573438
84.7,-0.2538028878,-0.2189685648,0.09306718737,-0.1406044069,-0.1362169893,-0.164549804,0.3187266105,-0.01460383388,0.4640804477,2.012999181,9.269824941,0.1609195524,0.07948279421,0.002016178446,0.001281389608,-0.01181239933,-0.003083911252,-0.3342999001,-0.212674239,0.07849337758
84.8,-0.2654245341,-0.2344290881,0.1239624423,-0.1414747138,-0.09586704261,-0.1443551223,0.2984879426,-0.002831502402,0.4641661186,2.014342073,9.271237545,0.1608338814,0.07810232298,0.003311811545,0.001536355795,-0.009332344464,-0.002376540541,-0.3534498858,-0.1698627218,0.07689008303
84.9,-0.2729196387,-0.2477792759,0.1526328775,-0.1411775131,-0.05381847718,-0.1223516693,0.2742941088,0.008736860371,0.4642309509,2.015294924,9.272879016,0.1607690492,0.07712584424,0.005328836261,0.001735598767,-0.005725647096,-0.001418032116,-0.3681897335,-0.1245711052,0.07554082003
85,-0.2761584979,-0.2588411659,0.1787030013,-0.1397359422,-0.01087845262,-0.09860134427,0.2465539364,0.02004737586,0.4642793257,2.01573591,9.274684085,0.1607206743,0.07667137148,0.007995195705,0.001861111369,-0.001237047317,-0.0002968132616,-0.3783018902,-0.07741390678,0.07455261656
85.1,-0.2750930115,-0.2674441535,0.2018405812,-0.1371782641,0.03213124486,-0.07319025875,0.2157225429,0.03105124007,0.4643165125,2.01592999,9.276572956,0.1606834875,0.07681928756,0.01115112415,0.001902047755,0.003831117513,0.0008862745038,-0.3836317084,-0.02903310715,0.07400810451
85.2,-0.2697572054,-0.2734276649,0.2217608906,-0.1335374125,0.07439300878,-0.04623371348,0.1822935834,0.0417036517,0.464348377,2.016724486,9.278458956,0.160651623,0.07760714583,0.0145642784,0.001855583197,0.009141377508,0.00202676005,-0.3840897053,0.01991162866,0.07396068732
85.3,-0.2602658815,-0.2766443029,0.2382301539,-0.1288506477,0.1151119774,-0.01788061356,0.1467910312,0.05196270498,0.4643810613,2.018155331,9.280256665,0.1606189388,0.07902774262,0.01795528194,0.001726996368,0.01434571609,0.003025493486,-0.3796528323,0.06875295673,0.07443162106
